L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
54.39,67.76,283.3696,31.6443,254.8373
54.39,69.29,289.0039,31.6443,265.5705
54.39,70.82,300.1645,31.6443,276.4807
54.39,72.35,314.5226,31.6443,287.5649
54.39,73.88,324.1841,31.6443,298.8203
54.39,75.41,335.1018,31.6443,310.2443
54.39,76.94,344.5782,31.6443,321.8339
54.39,78.47,358.2817,31.6443,333.5863
54.39,80.0,373.2555,31.6443,345.4989
55.2,5.0,33.529,32.3506,1.5272
55.2,6.53,34.7447,32.3506,2.6019
55.2,8.06,35.1889,32.3506,3.959
55.2,9.59,36.7588,32.3506,5.5974
55.2,11.12,39.177,32.3506,7.5156
55.2,12.65,41.9131,32.3506,9.7124
55.2,14.18,44.3965,32.3506,12.1862
55.2,15.71,45.9951,32.3506,14.9358
55.2,17.24,48.8417,32.3506,17.9596
55.2,18.78,52.1149,32.3506,21.256
55.2,20.31,55.2812,32.3506,24.8237
55.2,21.84,57.8756,32.3506,28.6609
55.2,23.37,61.5096,32.3506,32.7661
55.2,24.9,66.8376,32.3506,37.1376
55.2,26.43,70.7597,32.3506,41.7737
55.2,27.96,75.1299,32.3506,46.6729
55.2,29.49,81.0904,32.3506,51.8332
55.2,31.02,87.7644,32.3506,57.2531
55.2,32.55,93.0878,32.3506,62.9307
55.2,34.08,99.7175,32.3506,68.8641
55.2,35.61,105.7697,32.3506,75.0517
55.2,37.14,111.195,32.3506,81.4915
55.2,38.67,117.0608,32.3506,88.1817
55.2,40.2,122.7163,32.3506,95.1059
55.2,41.73,131.202,32.3506,102.1726
55.2,43.27,139.5604,32.3506,109.4669
55.2,44.8,144.5354,32.3506,116.986
55.2,46.33,153.5585,32.3506,124.7271
55.2,47.86,163.3391,32.3506,132.6873
55.2,49.39,170.3156,32.3506,140.864
55.2,50.92,178.9998,32.3506,149.2542
55.2,52.45,187.9828,32.3506,157.8553
55.2,53.98,200.3003,32.3506,166.6642
55.2,55.51,209.9813,32.3506,175.6784
55.2,57.04,223.0944,32.3506,184.8948
55.2,58.57,229.393,32.3506,194.3107
55.2,60.1,238.4446,32.3506,203.9233
55.2,61.63,247.4945,32.3506,213.7298
55.2,63.16,259.9019,32.3506,223.7272
55.2,64.69,271.247,32.3506,233.9128
55.2,66.22,280.0914,32.3506,244.2838
55.2,67.76,290.694,32.3506,254.8373
55.2,69.29,301.4561,32.3506,265.5705
55.2,70.82,311.9197,32.3506,276.4807
55.2,72.35,317.1298,32.3506,287.5649
55.2,73.88,329.917,32.3506,298.8203
55.2,75.41,343.8323,32.3506,310.2443
55.2,76.94,352.454,32.3506,321.8339
55.2,78.47,365.4571,32.3506,333.5863
55.2,80.0,374.7176,32.3506,345.4989
56.02,5.0,34.3382,33.0606,1.5272
56.02,6.53,35.5655,33.0606,2.6019
56.02,8.06,37.1405,33.0606,3.959
56.02,9.59,38.7448,33.0606,5.5974
56.02,11.12,40.4969,33.0606,7.5156
56.02,12.65,42.9744,33.0606,9.7124
56.02,14.18,44.5764,33.0606,12.1862
56.02,15.71,46.543,33.0606,14.9358
56.02,17.24,50.2414,33.0606,17.9596
56.02,18.78,52.8816,33.0606,21.256
56.02,20.31,55.6354,33.0606,24.8237
56.02,21.84,59.314,33.0606,28.6609
56.02,23.37,63.6869,33.0606,32.7661
56.02,24.9,67.7807,33.0606,37.1376
56.02,26.43,71.6845,33.0606,41.7737
56.02,27.96,76.0159,33.0606,46.6729
56.02,29.49,82.139,33.0606,51.8332
56.02,31.02,87.5714,33.0606,57.2531
56.02,32.55,94.1872,33.0606,62.9307
56.02,34.08,101.4068,33.0606,68.8641
56.02,35.61,107.3987,33.0606,75.0517
56.02,37.14,111.2651,33.0606,81.4915
56.02,38.67,119.6515,33.0606,88.1817
56.02,40.2,127.1243,33.0606,95.1059
56.02,41.73,131.64,33.0606,102.1726
56.02,43.27,136.7783,33.0606,109.4669
56.02,44.8,145.4715,33.0606,116.986
56.02,46.33,155.58,33.0606,124.7271
56.02,47.86,165.067,33.0606,132.6873
56.02,49.39,170.1742,33.0606,140.864
56.02,50.92,178.8337,33.0606,149.2542
56.02,52.45,190.1921,33.0606,157.8553
56.02,53.98,198.0386,33.0606,166.6642
56.02,55.51,204.5907,33.0606,175.6784
56.02,57.04,215.1988,33.0606,184.8948
56.02,58.57,219.8152,33.0606,194.3107
56.02,60.1,225.2841,33.0606,203.9233
56.02,61.63,239.1118,33.0606,213.7298
56.02,63.16,249.4132,33.0606,223.7272
56.02,64.69,266.5573,33.0606,233.9128
56.02,66.22,277.4335,33.0606,244.2838
56.02,67.76,290.8141,33.0606,254.8373
56.02,69.29,301.6319,33.0606,265.5705
56.02,70.82,311.4666,33.0606,276.4807
56.02,72.35,323.6365,33.0606,287.5649
56.02,73.88,334.7468,33.0606,298.8203
56.02,75.41,340.8466,33.0606,310.2443
56.02,76.94,357.7735,33.0606,321.8339
56.02,78.47,366.0355,33.0606,333.5863
56.02,80.0,380.0809,33.0606,345.4989
56.84,5.0,35.0962,33.7743,1.5272
56.84,6.53,36.2776,33.7743,2.6019
56.84,8.06,37.5957,33.7743,3.959
56.84,9.59,38.7404,33.7743,5.5974
56.84,11.12,40.5738,33.7743,7.5156
56.84,12.65,42.652,33.7743,9.7124
56.84,14.18,44.7851,33.7743,12.1862
56.84,15.71,48.0239,33.7743,14.9358
56.84,17.24,50.4179,33.7743,17.9596
56.84,18.78,53.122,33.7743,21.256
56.84,20.31,56.4475,33.7743,24.8237
56.84,21.84,59.6431,33.7743,28.6609
56.84,23.37,63.0006,33.7743,32.7661
56.84,24.9,66.8394,33.7743,37.1376
56.84,26.43,72.9599,33.7743,41.7737
56.84,27.96,77.5315,33.7743,46.6729
56.84,29.49,83.2526,33.7743,51.8332
56.84,31.02,89.6025,33.7743,57.2531
56.84,32.55,95.277,33.7743,62.9307
56.84,34.08,100.9834,33.7743,68.8641
56.84,35.61,107.03,33.7743,75.0517
56.84,37.14,111.4549,33.7743,81.4915
56.84,38.67,116.9401,33.7743,88.1817
56.84,40.2,123.0546,33.7743,95.1059
56.84,41.73,132.0854,33.7743,102.1726
56.84,43.27,142.9402,33.7743,109.4669
56.84,44.8,149.7993,33.7743,116.986
56.84,46.33,156.6498,33.7743,124.7271
56.84,47.86,163.7932,33.7743,132.6873
56.84,49.39,172.2925,33.7743,140.864
56.84,50.92,180.3378,33.7743,149.2542
56.84,52.45,190.5393,33.7743,157.8553
56.84,53.98,197.1814,33.7743,166.6642
56.84,55.51,203.9162,33.7743,175.6784
56.84,57.04,215.285,33.7743,184.8948
56.84,58.57,229.645,33.7743,194.3107
56.84,60.1,237.2349,33.7743,203.9233
56.84,61.63,244.26,33.7743,213.7298
56.84,63.16,255.7411,33.7743,223.7272
56.84,64.69,265.7779,33.7743,233.9128
56.84,66.22,273.1512,33.7743,244.2838
56.84,67.76,284.1543,33.7743,254.8373
56.84,69.29,300.6368,33.7743,265.5705
56.84,70.82,309.7587,33.7743,276.4807
56.84,72.35,320.2414,33.7743,287.5649
56.84,73.88,330.3151,33.7743,298.8203
56.84,75.41,341.7937,33.7743,310.2443
56.84,76.94,355.2277,33.7743,321.8339
56.84,78.47,375.764,33.7743,333.5863
56.84,80.0,388.83,33.7743,345.4989
57.65,5.0,37.0579,34.4915,1.5272
57.65,6.53,37.7629,34.4915,2.6019
57.65,8.06,38.5288,34.4915,3.959
57.65,9.59,39.7548,34.4915,5.5974
57.65,11.12,42.0872,34.4915,7.5156
57.65,12.65,43.6391,34.4915,9.7124
57.65,14.18,45.3835,34.4915,12.1862
57.65,15.71,48.6044,34.4915,14.9358
57.65,17.24,51.6277,34.4915,17.9596
57.65,18.78,54.0915,34.4915,21.256
57.65,20.31,57.7045,34.4915,24.8237
57.65,21.84,60.6794,34.4915,28.6609
57.65,23.37,63.9407,34.4915,32.7661
57.65,24.9,68.2269,34.4915,37.1376
57.65,26.43,73.0167,34.4915,41.7737
57.65,27.96,77.9249,34.4915,46.6729
57.65,29.49,84.042,34.4915,51.8332
57.65,31.02,89.4055,34.4915,57.2531
57.65,32.55,93.9752,34.4915,62.9307
57.65,34.08,100.9244,34.4915,68.8641
57.65,35.61,106.7408,34.4915,75.0517
57.65,37.14,111.6007,34.4915,81.4915
57.65,38.67,117.8528,34.4915,88.1817
57.65,40.2,126.0529,34.4915,95.1059
57.65,41.73,134.8132,34.4915,102.1726
57.65,43.27,139.7694,34.4915,109.4669
57.65,44.8,150.6627,34.4915,116.986
57.65,46.33,156.9183,34.4915,124.7271
57.65,47.86,164.5898,34.4915,132.6873
57.65,49.39,177.269,34.4915,140.864
57.65,50.92,185.0557,34.4915,149.2542
57.65,52.45,193.966,34.4915,157.8553
57.65,53.98,205.4023,34.4915,166.6642
57.65,55.51,212.0744,34.4915,175.6784
57.65,57.04,220.2359,34.4915,184.8948
57.65,58.57,225.1909,34.4915,194.3107
57.65,60.1,232.2992,34.4915,203.9233
57.65,61.63,245.1027,34.4915,213.7298
57.65,63.16,253.0389,34.4915,223.7272
57.65,64.69,265.6025,34.4915,233.9128
57.65,66.22,274.7409,34.4915,244.2838
57.65,67.76,285.3122,34.4915,254.8373
57.65,69.29,294.1151,34.4915,265.5705
57.65,70.82,309.7341,34.4915,276.4807
57.65,72.35,324.6672,34.4915,287.5649
57.65,73.88,337.1187,34.4915,298.8203
57.65,75.41,353.6823,34.4915,310.2443
57.65,76.94,357.012,34.4915,321.8339
57.65,78.47,372.5064,34.4915,333.5863
57.65,80.0,383.262,34.4915,345.4989
58.47,5.0,36.7614,35.212,1.5272
58.47,6.53,37.6759,35.212,2.6019
58.47,8.06,38.8356,35.212,3.959
58.47,9.59,40.2424,35.212,5.5974
58.47,11.12,42.354,35.212,7.5156
58.47,12.65,44.8901,35.212,9.7124
58.47,14.18,46.6052,35.212,12.1862
58.47,15.71,49.0412,35.212,14.9358
58.47,17.24,52.4729,35.212,17.9596
58.47,18.78,55.2925,35.212,21.256
58.47,20.31,57.422,35.212,24.8237
58.47,21.84,61.4285,35.212,28.6609
58.47,23.37,64.9056,35.212,32.7661
58.47,24.9,69.2386,35.212,37.1376
58.47,26.43,74.0141,35.212,41.7737
58.47,27.96,78.3992,35.212,46.6729
58.47,29.49,83.9691,35.212,51.8332
58.47,31.02,89.2381,35.212,57.2531
58.47,32.55,95.6267,35.212,62.9307
58.47,34.08,103.1767,35.212,68.8641
58.47,35.61,107.0414,35.212,75.0517
58.47,37.14,112.7017,35.212,81.4915
58.47,38.67,120.2546,35.212,88.1817
58.47,40.2,129.6336,35.212,95.1059
58.47,41.73,136.8525,35.212,102.1726
58.47,43.27,143.4947,35.212,109.4669
58.47,44.8,152.9375,35.212,116.986
58.47,46.33,157.6099,35.212,124.7271
58.47,47.86,164.7609,35.212,132.6873
58.47,49.39,173.3228,35.212,140.864
58.47,50.92,184.1423,35.212,149.2542
58.47,52.45,191.2629,35.212,157.8553
58.47,53.98,200.1806,35.212,166.6642
58.47,55.51,210.0289,35.212,175.6784
58.47,57.04,218.1195,35.212,184.8948
58.47,58.57,226.3506,35.212,194.3107
58.47,60.1,235.3354,35.212,203.9233
58.47,61.63,245.0677,35.212,213.7298
58.47,63.16,254.9495,35.212,223.7272
58.47,64.69,265.0887,35.212,233.9128
58.47,66.22,271.1156,35.212,244.2838
58.47,67.76,280.5689,35.212,254.8373
58.47,69.29,292.6652,35.212,265.5705
58.47,70.82,306.24,35.212,276.4807
58.47,72.35,318.533,35.212,287.5649
58.47,73.88,331.6108,35.212,298.8203
58.47,75.41,347.0173,35.212,310.2443
58.47,76.94,359.1195,35.212,321.8339
58.47,78.47,370.222,35.212,333.5863
58.47,80.0,384.7986,35.212,345.4989
59.29,5.0,37.2234,35.9359,1.5272
59.29,6.53,38.0295,35.9359,2.6019
59.29,8.06,39.2083,35.9359,3.959
59.29,9.59,41.2379,35.9359,5.5974
59.29,11.12,43.2842,35.9359,7.5156
59.29,12.65,45.002,35.9359,9.7124
59.29,14.18,47.8501,35.9359,12.1862
59.29,15.71,50.51,35.9359,14.9358
59.29,17.24,52.193,35.9359,17.9596
59.29,18.78,55.5312,35.9359,21.256
59.29,20.31,58.6026,35.9359,24.8237
59.29,21.84,61.6067,35.9359,28.6609
59.29,23.37,66.624,35.9359,32.7661
59.29,24.9,69.9872,35.9359,37.1376
59.29,26.43,74.5271,35.9359,41.7737
59.29,27.96,79.0616,35.9359,46.6729
59.29,29.49,84.3283,35.9359,51.8332
59.29,31.02,90.3409,35.9359,57.2531
59.29,32.55,96.3137,35.9359,62.9307
59.29,34.08,103.0973,35.9359,68.8641
59.29,35.61,108.205,35.9359,75.0517
59.29,37.14,113.2087,35.9359,81.4915
59.29,38.67,122.4696,35.9359,88.1817
59.29,40.2,127.7091,35.9359,95.1059
59.29,41.73,133.0006,35.9359,102.1726
59.29,43.27,141.0073,35.9359,109.4669
59.29,44.8,148.866,35.9359,116.986
59.29,46.33,159.5719,35.9359,124.7271
59.29,47.86,166.3238,35.9359,132.6873
59.29,49.39,175.4685,35.9359,140.864
59.29,50.92,182.9725,35.9359,149.2542
59.29,52.45,190.0164,35.9359,157.8553
59.29,53.98,194.5315,35.9359,166.6642
59.29,55.51,205.6097,35.9359,175.6784
59.29,57.04,215.1282,35.9359,184.8948
59.29,58.57,225.996,35.9359,194.3107
59.29,60.1,233.8651,35.9359,203.9233
59.29,61.63,246.1045,35.9359,213.7298
59.29,63.16,258.933,35.9359,223.7272
59.29,64.69,268.8451,35.9359,233.9128
59.29,66.22,279.3046,35.9359,244.2838
59.29,67.76,287.3778,35.9359,254.8373
59.29,69.29,298.3369,35.9359,265.5705
59.29,70.82,309.4988,35.9359,276.4807
59.29,72.35,322.6381,35.9359,287.5649
59.29,73.88,331.9057,35.9359,298.8203
59.29,75.41,341.7417,35.9359,310.2443
59.29,76.94,358.772,35.9359,321.8339
59.29,78.47,366.7679,35.9359,333.5863
59.29,80.0,374.1513,35.9359,345.4989
60.1,5.0,37.964,36.663,1.5272
60.1,6.53,38.5825,36.663,2.6019
60.1,8.06,40.0838,36.663,3.959
60.1,9.59,41.3566,36.663,5.5974
60.1,11.12,43.4925,36.663,7.5156
60.1,12.65,45.4869,36.663,9.7124
60.1,14.18,47.4746,36.663,12.1862
60.1,15.71,49.3646,36.663,14.9358
60.1,17.24,51.6964,36.663,17.9596
60.1,18.78,55.6176,36.663,21.256
60.1,20.31,58.6974,36.663,24.8237
60.1,21.84,62.7092,36.663,28.6609
60.1,23.37,66.867,36.663,32.7661
60.1,24.9,69.9121,36.663,37.1376
60.1,26.43,76.3549,36.663,41.7737
60.1,27.96,82.047,36.663,46.6729
60.1,29.49,86.3918,36.663,51.8332
60.1,31.02,90.2914,36.663,57.2531
60.1,32.55,95.4897,36.663,62.9307
60.1,34.08,101.7199,36.663,68.8641
60.1,35.61,107.433,36.663,75.0517
60.1,37.14,114.3827,36.663,81.4915
60.1,38.67,121.6814,36.663,88.1817
60.1,40.2,128.5415,36.663,95.1059
60.1,41.73,136.5945,36.663,102.1726
60.1,43.27,143.6507,36.663,109.4669
60.1,44.8,148.9698,36.663,116.986
60.1,46.33,159.1072,36.663,124.7271
60.1,47.86,166.9464,36.663,132.6873
60.1,49.39,173.1697,36.663,140.864
60.1,50.92,183.0743,36.663,149.2542
60.1,52.45,192.075,36.663,157.8553
60.1,53.98,202.738,36.663,166.6642
60.1,55.51,210.3287,36.663,175.6784
60.1,57.04,218.6847,36.663,184.8948
60.1,58.57,225.7127,36.663,194.3107
60.1,60.1,240.5009,36.663,203.9233
60.1,61.63,250.4162,36.663,213.7298
60.1,63.16,258.5003,36.663,223.7272
60.1,64.69,268.4378,36.663,233.9128
60.1,66.22,278.2594,36.663,244.2838
60.1,67.76,286.6494,36.663,254.8373
60.1,69.29,294.3916,36.663,265.5705
60.1,70.82,304.6175,36.663,276.4807
60.1,72.35,323.5329,36.663,287.5649
60.1,73.88,330.4823,36.663,298.8203
60.1,75.41,348.4443,36.663,310.2443
60.1,76.94,366.0346,36.663,321.8339
60.1,78.47,372.9631,36.663,333.5863
60.1,80.0,377.5695,36.663,345.4989
60.92,5.0,38.855,37.3932,1.5272
60.92,6.53,39.2899,37.3932,2.6019
60.92,8.06,40.839,37.3932,3.959
60.92,9.59,42.1277,37.3932,5.5974
60.92,11.12,43.3376,37.3932,7.5156
60.92,12.65,46.042,37.3932,9.7124
60.92,14.18,48.7831,37.3932,12.1862
60.92,15.71,51.3156,37.3932,14.9358
60.92,17.24,54.2384,37.3932,17.9596
60.92,18.78,57.3408,37.3932,21.256
60.92,20.31,60.1148,37.3932,24.8237
60.92,21.84,63.3705,37.3932,28.6609
60.92,23.37,66.8512,37.3932,32.7661
60.92,24.9,71.2349,37.3932,37.1376
60.92,26.43,76.5206,37.3932,41.7737
60.92,27.96,81.5683,37.3932,46.6729
60.92,29.49,88.1929,37.3932,51.8332
60.92,31.02,94.6864,37.3932,57.2531
60.92,32.55,98.8771,37.3932,62.9307
60.92,34.08,104.8331,37.3932,68.8641
60.92,35.61,110.1059,37.3932,75.0517
60.92,37.14,116.5381,37.3932,81.4915
60.92,38.67,121.3426,37.3932,88.1817
60.92,40.2,131.4337,37.3932,95.1059
60.92,41.73,135.5205,37.3932,102.1726
60.92,43.27,148.3172,37.3932,109.4669
60.92,44.8,151.7966,37.3932,116.986
60.92,46.33,158.3429,37.3932,124.7271
60.92,47.86,165.953,37.3932,132.6873
60.92,49.39,176.2499,37.3932,140.864
60.92,50.92,185.0756,37.3932,149.2542
60.92,52.45,194.8174,37.3932,157.8553
60.92,53.98,203.8634,37.3932,166.6642
60.92,55.51,215.3716,37.3932,175.6784
60.92,57.04,219.2938,37.3932,184.8948
60.92,58.57,231.1579,37.3932,194.3107
60.92,60.1,239.213,37.3932,203.9233
60.92,61.63,255.2564,37.3932,213.7298
60.92,63.16,265.4727,37.3932,223.7272
60.92,64.69,268.5536,37.3932,233.9128
60.92,66.22,282.6987,37.3932,244.2838
60.92,67.76,294.4104,37.3932,254.8373
60.92,69.29,300.7709,37.3932,265.5705
60.92,70.82,311.565,37.3932,276.4807
60.92,72.35,322.6991,37.3932,287.5649
60.92,73.88,337.2358,37.3932,298.8203
60.92,75.41,346.7808,37.3932,310.2443
60.92,76.94,356.1726,37.3932,321.8339
60.92,78.47,365.3404,37.3932,333.5863
60.92,80.0,385.38,37.3932,345.4989
61.73,5.0,40.173,38.1264,1.5272
61.73,6.53,41.146,38.1264,2.6019
61.73,8.06,42.0745,38.1264,3.959
61.73,9.59,43.5198,38.1264,5.5974
61.73,11.12,45.7769,38.1264,7.5156
61.73,12.65,47.6632,38.1264,9.7124
61.73,14.18,49.1179,38.1264,12.1862
61.73,15.71,51.8355,38.1264,14.9358
61.73,17.24,54.3511,38.1264,17.9596
61.73,18.78,57.2947,38.1264,21.256
61.73,20.31,59.965,38.1264,24.8237
61.73,21.84,64.7602,38.1264,28.6609
61.73,23.37,68.5853,38.1264,32.7661
61.73,24.9,71.44,38.1264,37.1376
61.73,26.43,76.6709,38.1264,41.7737
61.73,27.96,82.4518,38.1264,46.6729
61.73,29.49,87.6191,38.1264,51.8332
61.73,31.02,94.1025,38.1264,57.2531
61.73,32.55,98.8134,38.1264,62.9307
61.73,34.08,103.9629,38.1264,68.8641
61.73,35.61,109.2732,38.1264,75.0517
61.73,37.14,115.8257,38.1264,81.4915
61.73,38.67,125.8952,38.1264,88.1817
61.73,40.2,133.0063,38.1264,95.1059
61.73,41.73,139.8063,38.1264,102.1726
61.73,43.27,146.9041,38.1264,109.4669
61.73,44.8,151.1191,38.1264,116.986
61.73,46.33,160.0105,38.1264,124.7271
61.73,47.86,168.8055,38.1264,132.6873
61.73,49.39,176.5934,38.1264,140.864
61.73,50.92,186.3191,38.1264,149.2542
61.73,52.45,192.4424,38.1264,157.8553
61.73,53.98,200.6633,38.1264,166.6642
61.73,55.51,210.4808,38.1264,175.6784
61.73,57.04,219.1239,38.1264,184.8948
61.73,58.57,229.9774,38.1264,194.3107
61.73,60.1,238.4497,38.1264,203.9233
61.73,61.63,249.5994,38.1264,213.7298
61.73,63.16,266.4219,38.1264,223.7272
61.73,64.69,272.9357,38.1264,233.9128
61.73,66.22,280.1448,38.1264,244.2838
61.73,67.76,292.7938,38.1264,254.8373
61.73,69.29,298.2847,38.1264,265.5705
61.73,70.82,311.8191,38.1264,276.4807
61.73,72.35,324.7181,38.1264,287.5649
61.73,73.88,333.8195,38.1264,298.8203
61.73,75.41,349.5924,38.1264,310.2443
61.73,76.94,362.6208,38.1264,321.8339
61.73,78.47,369.4341,38.1264,333.5863
61.73,80.0,379.2016,38.1264,345.4989
62.55,5.0,39.5846,38.8625,1.5272
62.55,6.53,41.2537,38.8625,2.6019
62.55,8.06,42.0064,38.8625,3.959
62.55,9.59,44.6741,38.8625,5.5974
62.55,11.12,46.9063,38.8625,7.5156
62.55,12.65,49.1714,38.8625,9.7124
62.55,14.18,50.8404,38.8625,12.1862
62.55,15.71,53.2502,38.8625,14.9358
62.55,17.24,55.1924,38.8625,17.9596
62.55,18.78,57.9842,38.8625,21.256
62.55,20.31,60.3875,38.8625,24.8237
62.55,21.84,64.1741,38.8625,28.6609
62.55,23.37,68.8282,38.8625,32.7661
62.55,24.9,72.2601,38.8625,37.1376
62.55,26.43,75.9403,38.8625,41.7737
62.55,27.96,81.822,38.8625,46.6729
62.55,29.49,88.1362,38.8625,51.8332
62.55,31.02,93.3994,38.8625,57.2531
62.55,32.55,98.9003,38.8625,62.9307
62.55,34.08,104.2997,38.8625,68.8641
62.55,35.61,112.6758,38.8625,75.0517
62.55,37.14,119.265,38.8625,81.4915
62.55,38.67,126.6809,38.8625,88.1817
62.55,40.2,134.5329,38.8625,95.1059
62.55,41.73,139.8899,38.8625,102.1726
62.55,43.27,149.1517,38.8625,109.4669
62.55,44.8,152.1553,38.8625,116.986
62.55,46.33,160.5531,38.8625,124.7271
62.55,47.86,170.8381,38.8625,132.6873
62.55,49.39,181.5702,38.8625,140.864
62.55,50.92,187.4113,38.8625,149.2542
62.55,52.45,194.251,38.8625,157.8553
62.55,53.98,205.2773,38.8625,166.6642
62.55,55.51,215.2426,38.8625,175.6784
62.55,57.04,222.1618,38.8625,184.8948
62.55,58.57,232.3915,38.8625,194.3107
62.55,60.1,241.9072,38.8625,203.9233
62.55,61.63,249.9915,38.8625,213.7298
62.55,63.16,260.3369,38.8625,223.7272
62.55,64.69,270.5989,38.8625,233.9128
62.55,66.22,282.5381,38.8625,244.2838
62.55,67.76,291.6673,38.8625,254.8373
62.55,69.29,304.248,38.8625,265.5705
62.55,70.82,312.9778,38.8625,276.4807
62.55,72.35,323.9482,38.8625,287.5649
62.55,73.88,340.3692,38.8625,298.8203
62.55,75.41,347.8288,38.8625,310.2443
62.55,76.94,353.6076,38.8625,321.8339
62.55,78.47,371.019,38.8625,333.5863
62.55,80.0,380.6102,38.8625,345.4989
63.37,5.0,40.4148,39.6014,1.5272
63.37,6.53,41.4304,39.6014,2.6019
63.37,8.06,43.3948,39.6014,3.959
63.37,9.59,44.9498,39.6014,5.5974
63.37,11.12,46.8536,39.6014,7.5156
63.37,12.65,49.7118,39.6014,9.7124
63.37,14.18,51.4477,39.6014,12.1862
63.37,15.71,52.5589,39.6014,14.9358
63.37,17.24,55.8891,39.6014,17.9596
63.37,18.78,58.4156,39.6014,21.256
63.37,20.31,61.2156,39.6014,24.8237
63.37,21.84,64.5445,39.6014,28.6609
63.37,23.37,69.3667,39.6014,32.7661
63.37,24.9,73.142,39.6014,37.1376
63.37,26.43,78.0361,39.6014,41.7737
63.37,27.96,82.8454,39.6014,46.6729
63.37,29.49,85.9915,39.6014,51.8332
63.37,31.02,92.6031,39.6014,57.2531
63.37,32.55,99.786,39.6014,62.9307
63.37,34.08,106.5272,39.6014,68.8641
63.37,35.61,114.9549,39.6014,75.0517
63.37,37.14,117.5707,39.6014,81.4915
63.37,38.67,122.1858,39.6014,88.1817
63.37,40.2,129.2781,39.6014,95.1059
63.37,41.73,134.6158,39.6014,102.1726
63.37,43.27,145.1644,39.6014,109.4669
63.37,44.8,151.7891,39.6014,116.986
63.37,46.33,159.3677,39.6014,124.7271
63.37,47.86,170.6007,39.6014,132.6873
63.37,49.39,180.4893,39.6014,140.864
63.37,50.92,187.5132,39.6014,149.2542
63.37,52.45,198.9991,39.6014,157.8553
63.37,53.98,205.2669,39.6014,166.6642
63.37,55.51,213.4635,39.6014,175.6784
63.37,57.04,224.6155,39.6014,184.8948
63.37,58.57,233.4613,39.6014,194.3107
63.37,60.1,243.0142,39.6014,203.9233
63.37,61.63,256.0346,39.6014,213.7298
63.37,63.16,270.2865,39.6014,223.7272
63.37,64.69,271.6068,39.6014,233.9128
63.37,66.22,287.062,39.6014,244.2838
63.37,67.76,294.9041,39.6014,254.8373
63.37,69.29,301.0081,39.6014,265.5705
63.37,70.82,310.4482,39.6014,276.4807
63.37,72.35,323.4523,39.6014,287.5649
63.37,73.88,334.6957,39.6014,298.8203
63.37,75.41,343.9067,39.6014,310.2443
63.37,76.94,354.9206,39.6014,321.8339
63.37,78.47,371.8207,39.6014,333.5863
63.37,80.0,382.7838,39.6014,345.4989
64.18,5.0,41.8954,40.3431,1.5272
64.18,6.53,42.1835,40.3431,2.6019
64.18,8.06,44.4871,40.3431,3.959
64.18,9.59,45.2603,40.3431,5.5974
64.18,11.12,48.226,40.3431,7.5156
64.18,12.65,49.6556,40.3431,9.7124
64.18,14.18,51.79,40.3431,12.1862
64.18,15.71,54.0789,40.3431,14.9358
64.18,17.24,56.3338,40.3431,17.9596
64.18,18.78,60.1463,40.3431,21.256
64.18,20.31,63.2089,40.3431,24.8237
64.18,21.84,66.7065,40.3431,28.6609
64.18,23.37,69.8552,40.3431,32.7661
64.18,24.9,74.9583,40.3431,37.1376
64.18,26.43,78.7416,40.3431,41.7737
64.18,27.96,85.1404,40.3431,46.6729
64.18,29.49,89.8084,40.3431,51.8332
64.18,31.02,95.2965,40.3431,57.2531
64.18,32.55,101.4063,40.3431,62.9307
64.18,34.08,108.2581,40.3431,68.8641
64.18,35.61,113.5084,40.3431,75.0517
64.18,37.14,119.5797,40.3431,81.4915
64.18,38.67,126.5733,40.3431,88.1817
64.18,40.2,133.9608,40.3431,95.1059
64.18,41.73,140.3114,40.3431,102.1726
64.18,43.27,149.1011,40.3431,109.4669
64.18,44.8,157.4772,40.3431,116.986
64.18,46.33,163.4877,40.3431,124.7271
64.18,47.86,172.8904,40.3431,132.6873
64.18,49.39,182.2564,40.3431,140.864
64.18,50.92,189.7459,40.3431,149.2542
64.18,52.45,198.1369,40.3431,157.8553
64.18,53.98,203.5977,40.3431,166.6642
64.18,55.51,213.3431,40.3431,175.6784
64.18,57.04,222.3128,40.3431,184.8948
64.18,58.57,235.5959,40.3431,194.3107
64.18,60.1,248.3865,40.3431,203.9233
64.18,61.63,258.8493,40.3431,213.7298
64.18,63.16,264.6524,40.3431,223.7272
64.18,64.69,272.9203,40.3431,233.9128
64.18,66.22,283.1893,40.3431,244.2838
64.18,67.76,296.8965,40.3431,254.8373
64.18,69.29,305.4132,40.3431,265.5705
64.18,70.82,313.6525,40.3431,276.4807
64.18,72.35,327.4828,40.3431,287.5649
64.18,73.88,339.2003,40.3431,298.8203
64.18,75.41,343.9914,40.3431,310.2443
64.18,76.94,361.5652,40.3431,321.8339
64.18,78.47,367.5545,40.3431,333.5863
64.18,80.0,381.9611,40.3431,345.4989
65.0,5.0,42.5952,41.0874,1.5272
65.0,6.53,43.1681,41.0874,2.6019
65.0,8.06,45.1799,41.0874,3.959
65.0,9.59,46.6615,41.0874,5.5974
65.0,11.12,48.6992,41.0874,7.5156
65.0,12.65,50.6586,41.0874,9.7124
65.0,14.18,52.756,41.0874,12.1862
